Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20150201;17;18238;17960,575
20150201;18;19409;19560,3
20150201;19;19723;19769,85
20150201;20;19805;19592,15
20150201;21;19338;19106,5
20150201;22;18350;18101,65
20150201;23;17360;17209,625
20150201;24;16275;16059,075
20150202;1;15412;15157,5
20150202;2;14912;14829,125
20150202;3;14735;14575,025
20150202;4;14830;14801,725
20150202;5;15242;15058,975
20150202;6;16452;16283,425
20150202;7;19050;19406,575
20150202;8;21038;21082,55
20150202;9;22158;22071,725
20150202;10;22675;22440,175
20150202;11;22568;22553,35
20150202;12;22775;22633,475
20150202;13;22782;22675,825
20150202;14;22605;22694,5
20150202;15;22225;22295,7
20150202;16;22070;22001,15
20150202;17;22710;22650,425
20150202;18;23885;23710,425
20150202;19;23452;23455,225
20150202;20;23108;23447,8
20150202;21;22418;22620,975
20150202;22;21210;21158,5
20150202;23;19642;19641,175
20150202;24;18295;18193,55
20150203;1;17290;17151,475
20150203;2;16782;16514,7
20150203;3;16478;16306,05
20150203;4;16352;16330,875
20150203;5;16685;16697,075
20150203;6;17540;17561,7
20150203;7;19650;20141,05
20150203;8;21670;21554,175
20150203;9;22478;22467,2
20150203;10;22830;22821,225
20150203;11;22805;22697,425
20150203;12;23002;22793,575
20150203;13;23015;22867,825
20150203;14;22935;22872,2
20150203;15;22625;22628,675
20150203;16;22360;22243,6
20150203;17;22792;22869,25
20150203;18;23805;23996,225
20150203;19;23642;23822,125
20150203;20;23615;23633,225
20150203;21;22922;22869,1
20150203;22;21342;21266,025
20150203;23;19722;19795
20150203;24;18495;18401,025
20150204;1;17307;17302,075
20150204;2;16640;16711,725
20150204;3;16396;16541,6
20150204;4;16458;16576,225
20150204;5;16848;16847,475
20150204;6;17750;17631,85
20150204;7;19952;20332,175
20150204;8;21643;21781,525
20150204;9;22575;22801,3
20150204;10;23029;23045,55
20150204;11;23051;22971,2
20150204;12;23242;23159,725
20150204;13;23190;23130,15
20150204;14;23186;23133,15
20150204;15;22808;22751,35
20150204;16;22440;22406,75
20150204;17;23135;23088,7
20150204;18;24178;24089,75
20150204;19;23906;23951,65
20150204;20;23756;23678,525
20150204;21;22905;22897,375
20150204;22;21435;21327,275
20150204;23;19796;19858,775
20150204;24;18530;18394,95
20150205;1;17400;17389,275
20150205;2;16800;16772,9
20150205;3;16500;16574,7
20150205;4;16700;16589,3
20150205;5;17100;16919,225
20150205;6;18300;17811,55
20150205;7;21100;20453,65
20150205;8;22100;21864,95
20150205;9;23100;22957,325
20150205;10;23200;23250,125
20150205;11;23200;23221,175
20150205;12;23200;23266,575
20150205;13;23300;23267,05
20150205;14;23400;23378,3
20150205;15;22900;23003,825
20150205;16;22400;22708,7
20150205;17;24000;23239,925
20150205;18;24400;24213,25
20150205;19;24000;24031,45
20150205;20;24000;23830,45
20150205;21;23200;23010,6
20150205;22;21800;21497,875
20150205;23;20300;19960,7
20150205;24;18900;18445,8
20150206;1;17300;17404,125
20150206;2;16650;16879
20150206;3;16400;16662,9
20150206;4;16600;16650,8
20150206;5;17000;16952,95
20150206;6;18200;17766,85
20150206;7;21000;20348,625
20150206;8;22100;21922,225
20150206;9;22900;22799,45
20150206;10;23050;23185,225
20150206;11;23000;23214,2
20150206;12;23050;23255,875
20150206;13;23150;23436
20150206;14;23350;23418,25
20150206;15;22800;23012,75
20150206;16;22300;22636,2
20150206;17;23800;22900,925
20150206;18;24150;24143,35
20150206;19;23850;23945,25
20150206;20;23800;23642,425
20150206;21;22950;22761,4
20150206;22;21600;21215,1
20150206;23;19950;19724,325
20150206;24;18550;18509,6
20150207;1;17200;17485,825
20150207;2;16500;16817,875
20150207;3;16100;16475,975
20150207;4;16000;16391,05
20150207;5;16100;16530,35
20150207;6;16200;16608,775
20150207;7;17250;17495,3
20150207;8;18050;18077
20150207;9;19450;19353,7
20150207;10;20150;20231,45
20150207;11;20650;20575,85
20150207;12;20650;20789,625
20150207;13;20450;20594
20150207;14;20550;20651,45
20150207;15;19850;19964,525
20150207;16;19450;19572,625
20150207;17;20550;20131,725
20150207;18;21300;21310,2
20150207;19;21050;21269,85
20150207;20;20850;20952,875
20150207;21;20250;20328,625
20150207;22;18950;18932,15
20150207;23;17950;17874,075
20150207;24;16650;16686,975
20150208;1;15800;15558,5
20150208;2;15100;14959,975
20150208;3;14700;14693,8
20150208;4;14500;14737,125
20150208;5;14600;14689,7
20150208;6;14700;14775,45
20150208;7;15000;15070,275
20150208;8;15500;15290,925
20150208;9;16500;16261,025
20150208;10;17400;17239,5
20150208;11;17900;17891,175
20150208;12;18000;18159,125
20150208;13;18100;18233,05
20150208;14;18300;18241,55
20150208;15;17950;17956,95
20150208;16;17500;17470,35
20150208;17;18900;17999,65
20150208;18;19700;19767,775
20150208;19;19900;20076,325
20150208;20;20000;20021,475
20150208;21;19400;19392,75
20150208;22;18500;18417,3
20150208;23;17550;17439,275
20150208;24;16300;16331,975
20150209;1;15600;15511,375
20150209;2;15100;15144,15
20150209;3;14900;14929,45
20150209;4;15100;15208,175
20150209;5;15700;15496,475
20150209;6;17500;16699,9
20150209;7;20700;19522,875
20150209;8;22000;21089,525
20150209;9;22900;22364,275
20150209;10;23050;22929,275
20150209;11;23250;22968,275
20150209;12;23250;23179,375
20150209;13;23350;23304,6
20150209;14;23550;23408,7
20150209;15;23200;23016,2
20150209;16;22550;22604,525
20150209;17;23550;22855,925
20150209;18;24300;23910,35
20150209;19;24000;23786,125
20150209;20;23900;23475
20150209;21;23000;22639,925
20150209;22;21650;21189,8
20150209;23;20150;19602,95
20150209;24;18550;18259,825
20150210;1;17400;17132,925
20150210;2;16800;16453,8
20150210;3;16500;16309,2
20150210;4;16600;16357,125
20150210;5;17100;16672,875
20150210;6;18300;17430,8
20150210;7;20900;19956,45
20150210;8;22300;21387,25
20150210;9;23000;22341,85
20150210;10;23300;22651,525
20150210;11;23200;22840,975
20150210;12;23300;22930,025
20150210;13;23300;23077,225
20150210;14;23500;23059,4
20150210;15;22900;22749,775
20150210;16;22500;22392,35
20150210;17;23400;22550,8
20150210;18;24200;23705,225
20150210;19;24100;23617,95
20150210;20;23900;23464,9
20150210;21;23100;22712,325
20150210;22;21700;21115,375
20150210;23;20100;19588,125
20150210;24;18700;18013,65
20150211;1;17300;17114,35
20150211;2;16700;16541,375
20150211;3;16400;16320,35
20150211;4;16500;16355,375
